Age Group,Gender,"What was your primary pre-qualification exam for your current degree? (e.g. JEE, NEET, MHT-CET)",Please provide your scores or rank in the pre-qualification exam.,What is your current degree or program of study?,What is your current CGPA or equivalent semester marks?,"Have you experienced any significant change in your academic interests since the pre-qualification exam? If yes, please specify.",Reason of Changes,"Are you considering or have you already changed your career path from your initial degree? (e.g., from engineering to management studies, law, entrepreneurship)","If you've changed your career path, what influenced this decision?",Are you currently pursuing any entrepreneurial ventures or expressing interest in entrepreneurship?,Do you foresee any major shifts in your career or educational path in the near future?,"How do your pre-qualification exam results connect with your current academic performance? For instance, if you took subjects like Physics, Chemistry, and Mathematics in exams like JEE, do you see a link to your current degree program, such as engineering?","Are there any external factors that played a role in your academic or career decisions?
If yes, please elaborate. ﻿﻿﻿","Would you be open to sharing more details about your journey for potential case studies or further analysis?
If Yes then specify."
18 - 24,Female,MHT-CET,76.0,BTech,7.00 - 8.99,Yes ,I'm more interesting in designing part of engineering ,No,No,No,No,Best-fit,Yes ,No
18 - 24,Male,JEE,90.0,BTech,7.00 - 8.99,No,,No,No,No,Yes,Best-fit,No,No
18 - 24,Male,MHT-CET,79.81,BTech,7.00 - 8.99,No,,No,No,Yes,Yes,Best-fit,No,No
18 - 24,Male,MHT-CET,89.91,BTech,> 9.00,No,,No,No,No,No,Best-fit,No,No
18 - 24,Male,MHT-CET,88.89,BTech,7.00 - 8.99,No,,Yes,Yes ,No,No,Best-fit,No,No
18 - 24,Male,MHT-CET,91.0,BTech,7.00 - 8.99,No,,No ,No,Yes,No,Outdated,No ,Yes
18 - 24,Male,Diploma,85.0,BTech,7.00 - 8.99,Yes,,No,No,No,Yes,Outdated,No,No
18 - 24,Male,Diploma ,87.0,BTech,7.00 - 8.99,No,,No,No,Yes,No,Best-fit,No,No
18 - 24,Male,Diploma ,82.0,BTech,7.00 - 8.99,No,,No,No,No,No,Best-fit,No,No
18 - 24,Male,Diploma ,75.76,BTech,7.00 - 8.99,No,,No,No,No,No,Best-fit,No,No
18 - 24,Female,MHT-CET,80.6,BTech,7.00 - 8.99,Yes , finding myself getting involved in management roles for different activities ,Yes,Yes,Yes,Yes,Outdated,Yes,No
18 - 24,Female,Diploma,84.53,BTech,7.00 - 8.99,Yes ,,No,No,No,Yes,Best-fit,No,Yes
18 - 24,Male,MHT-CET,65.0,BTech,7.00 - 8.99,No,,No,No,No,No,Best-fit,No,No
18 - 24,Female,MHT-CET,62.0,BTech,5.00 - 6.99,No,,Yes,No,No,No,Outdated,No,No
18 - 24,Female,MHT-CET,80.0,BTech,7.00 - 8.99,No,,No,No ,No,No,Best-fit,No,Yes
18 - 24,Male,JEE,92.0,BTech,7.00 - 8.99,no,,No,No,No,No,Outdated,No,No
18 - 24,Female,MHT-CET,90.0,BTech,> 9.00,No,,No,No,No,No,Outdated,No,No 
18 - 24,Female,HSC,66.0,BSc,7.00 - 8.99,No,,No,No,No,No,Best-fit,No,No 
18 - 24,Male,HSC,51.0,Bsc,< 4.99,No,,No,No,No,No,Best-fit,No,No
18 - 24,Male,MHT-CET,72.0,BTech,7.00 - 8.99,No,,No,No,No,Yes,Outdated,No,Yes
18 - 24,Male,MHT-CET,86.83,BTech,7.00 - 8.99,No,,No,No,No,No,Best-fit,No,No
18 - 24,Female,Diploma ,82.94,BTech,7.00 - 8.99,No,,No,No,No,No,Best-fit,No,No
18 - 24,Male,MHT-CET,75.0,BTech,7.00 - 8.99,Yes,Interest in biomedical devices,No,No,Yes,Yes,Best-fit,Yes,Yes
18 - 24,Male,MHT-CET,57.0,BTech,5.00 - 6.99,No,,No,No,No,Yes,Best-fit,Yes,No
18 - 24,Female,MHT-CET,88.91,BTech,7.00 - 8.99,Yes,"Before the pre-qualification exam, I had diverse academic interests, but since then, I've developed a strong interest in electronics, particularly in circuit design and semiconductor technology, inspired by the challenges presented during the exam.",No,No ,No,Yes,Best-fit,Yes,"
Yes"
18 - 24,Female,MHT-CET,63.0,BTech,7.00 - 8.99,Yes , Punctuality,No,No,Yes,Yes,Outdated,No,No
18 - 24,Male,Npat,300.0,BBA,7.00 - 8.99,No,,Yes,Yes,No,No,Best-fit,Yes,No
18 - 24,Female,HSC,83.0,BSc,7.00 - 8.99,No ,,No,No,No,No,Best-fit,No,Yes
18 - 24,Male,MHT-CET,76.0,BTech,7.00 - 8.99,No,,No,No,No,Yes,Outdated,No,No
18 - 24,Female,MHT-CET,85.0,BTech,7.00 - 8.99,No,,No,No,No,No,Best-fit,Yes,No
18 - 24,Male,Diploma,80.0,BTech,7.00 - 8.99,Yes,My primary interest lies in medicines ,Yes ,Yes,No,Yes,Outdated,Yes,No
25 - 35,Female,CAT,98.77,MBA,> 9.00,No,,No,No,Yes,No,Best-fit,No,No
